@relation credit_g_part1
@attribute checking_status{0_X_200,_0,_200,no_checking}
@attribute credit_history{all_paid,critical_other_existing_credit,delayed_previously,existing_paid,no_credits_all_paid}
@attribute credit_amount real
@attribute employment{1_X_4,4_X_7,_1,_7,unemployed}
@attribute housing{for_free,own,rent}
@attribute age real
@attribute personal_status{female_div_dep_mar,male_div_sep,male_mar_wid,male_single}
@attribute job{high_qualif_self_emp_mgmt,skilled,unemp_unskilled_non_res,unskilled_resident}
@attribute own_telephone{none,yes}
@attribute residence_since real
@attribute class{bad,good}
@data
"_0","critical_other_existing_credit",1169.0,"_7","own",67.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","existing_paid",5951.0,"1_X_4","own",22.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"no_checking","critical_other_existing_credit",2096.0,"4_X_7","own",49.0,"male_single","unskilled_resident","none",3.0,"good"
"_0","existing_paid",7882.0,"4_X_7","for_free",45.0,"male_single","skilled","none",4.0,"good"
"_0","delayed_previously",4870.0,"1_X_4","for_free",53.0,"male_single","skilled","none",4.0,"bad"
"no_checking","existing_paid",9055.0,"1_X_4","for_free",35.0,"male_single","unskilled_resident","yes",4.0,"good"
"no_checking","existing_paid",2835.0,"_7","own",53.0,"male_single","skilled","none",4.0,"good"
"0_X_200","existing_paid",6948.0,"1_X_4","rent",35.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"no_checking","existing_paid",3059.0,"4_X_7","own",61.0,"male_div_sep","unskilled_resident","none",4.0,"good"
"0_X_200","critical_other_existing_credit",5234.0,"unemployed","own",28.0,"male_mar_wid","high_qualif_self_emp_mgmt","none",2.0,"bad"
"0_X_200","existing_paid",1295.0,"_1","rent",25.0,"female_div_dep_mar","skilled","none",1.0,"bad"
"_0","existing_paid",4308.0,"_1","rent",24.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"0_X_200","existing_paid",1567.0,"1_X_4","own",22.0,"female_div_dep_mar","skilled","yes",1.0,"good"
"_0","critical_other_existing_credit",1199.0,"_7","own",60.0,"male_single","unskilled_resident","none",4.0,"bad"
"_0","existing_paid",1403.0,"1_X_4","rent",28.0,"female_div_dep_mar","skilled","none",4.0,"good"
"_0","existing_paid",1282.0,"1_X_4","own",32.0,"female_div_dep_mar","unskilled_resident","none",2.0,"bad"
"no_checking","critical_other_existing_credit",2424.0,"_7","own",53.0,"male_single","skilled","none",4.0,"good"
"_0","no_credits_all_paid",8072.0,"_1","own",25.0,"male_single","skilled","none",3.0,"good"
"0_X_200","existing_paid",12579.0,"_7","for_free",44.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"no_checking","existing_paid",3430.0,"_7","own",31.0,"male_single","skilled","yes",2.0,"good"
"no_checking","critical_other_existing_credit",2134.0,"1_X_4","own",48.0,"male_single","skilled","yes",4.0,"good"
"_0","existing_paid",2647.0,"1_X_4","rent",44.0,"male_single","skilled","none",3.0,"good"
"_0","critical_other_existing_credit",2241.0,"_1","rent",48.0,"male_single","unskilled_resident","none",3.0,"good"
"0_X_200","critical_other_existing_credit",1804.0,"_1","own",44.0,"male_single","skilled","none",4.0,"good"
"no_checking","critical_other_existing_credit",2069.0,"1_X_4","own",26.0,"male_mar_wid","skilled","none",1.0,"good"
"_0","existing_paid",1374.0,"1_X_4","own",36.0,"male_single","unskilled_resident","yes",2.0,"good"
"no_checking","no_credits_all_paid",426.0,"_7","own",39.0,"male_mar_wid","unskilled_resident","none",4.0,"good"
"_200","all_paid",409.0,"1_X_4","rent",42.0,"female_div_dep_mar","skilled","none",3.0,"good"
"0_X_200","existing_paid",2415.0,"1_X_4","own",34.0,"male_single","skilled","none",2.0,"good"
"_0","delayed_previously",6836.0,"_7","own",63.0,"male_single","skilled","yes",4.0,"bad"
"0_X_200","existing_paid",1913.0,"_1","own",36.0,"male_mar_wid","skilled","yes",3.0,"good"
"_0","existing_paid",4020.0,"1_X_4","own",27.0,"male_single","skilled","none",2.0,"good"
"0_X_200","existing_paid",5866.0,"1_X_4","own",30.0,"male_single","skilled","yes",2.0,"good"
"no_checking","critical_other_existing_credit",1264.0,"_7","rent",57.0,"male_single","unskilled_resident","none",4.0,"good"
"_200","existing_paid",1474.0,"_1","own",33.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",1.0,"good"
"0_X_200","critical_other_existing_credit",4746.0,"_1","own",25.0,"male_single","unskilled_resident","none",2.0,"bad"
"no_checking","critical_other_existing_credit",6110.0,"1_X_4","for_free",31.0,"male_single","skilled","yes",3.0,"good"
"_200","existing_paid",2100.0,"1_X_4","own",37.0,"male_single","skilled","none",2.0,"bad"
"_200","existing_paid",1225.0,"1_X_4","own",37.0,"male_single","skilled","yes",2.0,"good"
"0_X_200","existing_paid",458.0,"1_X_4","own",24.0,"male_single","skilled","none",3.0,"good"
"no_checking","existing_paid",2333.0,"_7","own",30.0,"male_single","high_qualif_self_emp_mgmt","none",2.0,"good"
"0_X_200","existing_paid",1158.0,"1_X_4","own",26.0,"male_div_sep","skilled","yes",1.0,"good"
"0_X_200","delayed_previously",6204.0,"1_X_4","own",44.0,"male_single","unskilled_resident","yes",4.0,"good"
"_0","critical_other_existing_credit",6187.0,"4_X_7","rent",24.0,"male_mar_wid","skilled","none",4.0,"good"
"_0","critical_other_existing_credit",6143.0,"_7","for_free",58.0,"female_div_dep_mar","unskilled_resident","none",4.0,"bad"
"no_checking","critical_other_existing_credit",1393.0,"_1","own",35.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","none",4.0,"good"
"no_checking","existing_paid",2299.0,"_7","own",39.0,"male_single","skilled","none",4.0,"good"
"_0","existing_paid",1352.0,"unemployed","rent",23.0,"female_div_dep_mar","unemp_unskilled_non_res","yes",2.0,"good"
"no_checking","critical_other_existing_credit",7228.0,"1_X_4","own",39.0,"male_single","unskilled_resident","none",4.0,"good"
"no_checking","existing_paid",2073.0,"1_X_4","own",28.0,"female_div_dep_mar","skilled","none",2.0,"good"
"0_X_200","delayed_previously",2333.0,"_1","own",29.0,"male_single","unskilled_resident","none",2.0,"good"
"0_X_200","delayed_previously",5965.0,"_7","own",30.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"no_checking","existing_paid",1262.0,"1_X_4","own",25.0,"male_single","skilled","none",2.0,"good"
"no_checking","existing_paid",3378.0,"1_X_4","own",31.0,"male_single","skilled","yes",1.0,"good"
"0_X_200","delayed_previously",2225.0,"_7","for_free",57.0,"male_single","skilled","yes",4.0,"bad"
"no_checking","all_paid",783.0,"1_X_4","own",26.0,"male_single","unskilled_resident","none",2.0,"good"
"0_X_200","existing_paid",6468.0,"unemployed","own",52.0,"male_single","high_qualif_self_emp_mgmt","yes",1.0,"bad"
"no_checking","critical_other_existing_credit",9566.0,"1_X_4","own",31.0,"female_div_dep_mar","skilled","none",2.0,"good"
"_200","existing_paid",1961.0,"_7","own",23.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","none",2.0,"good"
"_0","critical_other_existing_credit",6229.0,"_1","rent",23.0,"female_div_dep_mar","unskilled_resident","yes",4.0,"bad"
"0_X_200","existing_paid",1391.0,"1_X_4","own",27.0,"male_mar_wid","skilled","yes",1.0,"good"
"0_X_200","critical_other_existing_credit",1537.0,"_7","own",50.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","no_credits_all_paid",1953.0,"_7","for_free",61.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"0_X_200","no_credits_all_paid",14421.0,"1_X_4","own",25.0,"male_single","skilled","yes",2.0,"bad"
"no_checking","existing_paid",3181.0,"_1","own",26.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","existing_paid",5190.0,"_7","own",48.0,"male_single","skilled","yes",4.0,"good"
"no_checking","existing_paid",2171.0,"_1","own",29.0,"female_div_dep_mar","skilled","none",2.0,"good"
"0_X_200","existing_paid",1007.0,"1_X_4","own",22.0,"male_mar_wid","skilled","none",1.0,"good"
"no_checking","existing_paid",1819.0,"1_X_4","for_free",37.0,"male_single","skilled","yes",4.0,"bad"
"no_checking","existing_paid",2394.0,"1_X_4","own",25.0,"female_div_dep_mar","skilled","none",4.0,"good"
"no_checking","existing_paid",8133.0,"1_X_4","own",30.0,"female_div_dep_mar","skilled","none",2.0,"good"
"no_checking","critical_other_existing_credit",730.0,"_7","rent",46.0,"male_single","unskilled_resident","yes",2.0,"good"
"_0","critical_other_existing_credit",1164.0,"_7","for_free",51.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
