@relation ionosphere_part1
@attribute a34 real
@attribute a22 real
@attribute a07 real
@attribute a13 real
@attribute a31 real
@attribute a04 real
@attribute a16 real
@attribute a25 real
@attribute a28 real
@attribute a19 real
@attribute a10 real
@attribute a01 real
@attribute class{b,g}
@data
-0.453,-0.29674,0.83398,0.59755,0.42267,-0.05889,-0.38223,0.56811,-0.46168,0.58212,0.0376,1.0,"g"
-0.02447,-0.453,-0.10868,0.34432,-0.16626,-0.18829,-0.97515,-0.20332,-0.18401,0.33109,-0.04549,1.0,"b"
-0.38238,-0.27502,1.0,0.85443,0.60436,-0.03365,0.00299,0.57528,-0.22145,0.75535,0.01198,1.0,"g"
1.0,1.0,0.71216,0.0,0.25682,-0.45161,0.14516,1.0,1.0,-1.0,0.0,1.0,"b"
-0.65697,-0.35575,0.92106,0.56409,-0.05707,-0.02401,-0.27457,0.03286,-0.53206,0.45107,-0.16399,1.0,"g"
0.12011,0.03669,-0.00763,0.0,0.0,-0.00592,-0.1554,0.03513,0.09223,-0.11575,0.06637,1.0,"b"
-0.80975,-0.76562,0.92806,0.78225,-0.04262,-0.10602,-0.61436,0.22792,-0.8251,0.37852,-0.27342,1.0,"g"
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,"b"
-0.7342,-0.60589,1.0,0.9451,0.45114,-0.07198,-0.46381,0.85106,-0.69712,0.84537,-0.36174,1.0,"g"
0.38065,0.0,0.0,0.0,0.16595,-0.08459,0.38602,-0.14803,-0.02294,0.63728,-0.2681,1.0,"b"
-0.89158,-0.7632,1.0,0.96232,0.30996,0.06655,-0.59017,0.55867,-0.865,0.69876,-0.43107,1.0,"g"
-1.0,1.0,1.0,1.0,1.0,-0.5421,-1.0,1.0,-0.62745,1.0,0.36217,1.0,"b"
-0.67226,-0.47308,0.99999,0.95735,0.68714,-0.16316,-0.34412,0.8408,-0.5837,0.90137,-0.19277,1.0,"g"
-0.18826,0.15803,0.85492,1.0,1.0,-0.86701,-0.14767,1.0,0.35924,1.0,-0.1209,1.0,"b"
0.46712,0.44758,1.0,1.0,1.0,0.0738,0.12785,1.0,0.36743,1.0,0.08764,1.0,"g"
0.0,0.0,-0.0352,0.0,1.0,-0.93996,-0.34265,-0.16253,0.26501,1.0,-1.0,1.0,"b"
0.12015,0.1183,0.97811,0.89323,0.77122,0.06468,0.05269,0.81329,0.13638,0.86104,0.02312,1.0,"g"
-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,"b"
0.33036,0.21326,0.57197,0.62099,0.40663,0.02528,0.10976,0.48838,0.24618,0.14395,0.34081,1.0,"g"
1.0,1.0,0.0,-0.71875,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,"b"
-0.45039,-0.44072,1.0,1.0,0.80448,-0.00612,-0.15616,0.81874,-0.42231,0.86473,-0.10605,1.0,"g"
1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,"b"
-0.00182,-0.07905,1.0,0.8325,0.5131,0.07088,0.09831,0.55677,-0.02205,0.75206,-0.05144,1.0,"g"
0.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,"b"
-0.39487,-0.31558,1.0,0.84493,0.54356,-0.06182,-0.06598,0.84932,-0.29174,0.65731,-0.01707,1.0,"g"
-1.0,-0.62796,1.0,1.0,1.0,0.5782,-1.0,1.0,-1.0,1.0,-1.0,1.0,"b"
-1.0,0.11053,0.86635,0.88486,0.32984,-0.08714,-0.23433,0.55389,-0.86583,0.12245,0.61053,1.0,"g"
1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,-1.0,-0.375,0.0,"b"
1.0,1.0,1.0,1.0,0.64358,0.0838,0.70758,0.91624,1.0,1.0,0.6452,1.0,"g"
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,"b"
-0.84437,-0.35519,1.0,1.0,1.0,-0.14236,-0.21975,1.0,-0.49687,1.0,-0.07514,1.0,"g"
1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,"b"
-0.58086,-0.47153,0.921,0.85269,0.47075,-0.14639,-0.35924,0.61297,-0.54629,0.75243,-0.17036,1.0,"g"
-1.0,0.9273,0.98019,0.58965,0.86136,-0.02595,-1.0,0.65493,-0.41307,0.8076,-0.10236,1.0,"b"
-0.57758,-0.01891,0.83443,0.79962,1.0,-0.15899,0.14638,1.0,-0.11582,1.0,-0.28207,1.0,"g"
0.34732,0.85268,1.0,1.0,1.0,-1.0,0.73393,1.0,-0.08571,1.0,-0.40446,1.0,"b"
-0.20766,-0.14248,1.0,1.0,0.83777,0.00433,-0.07917,0.89469,-0.17909,0.94184,-0.07014,1.0,"g"
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,"b"
0.11447,0.11849,0.94705,0.92766,0.70925,0.04347,0.06211,0.75755,0.13282,0.83744,0.01321,1.0,"g"
1.0,0.16371,0.97545,0.88462,0.38352,0.02461,0.14137,0.54446,0.16019,1.0,-1.0,1.0,"b"
0.71444,0.67135,1.0,0.75474,0.11372,0.06538,0.52321,0.34384,0.72386,0.57619,0.32213,1.0,"g"
0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0875,0.0,1.0,"b"
0.67739,0.54462,1.0,0.16286,0.06927,0.08791,0.46086,0.24856,0.56605,0.31639,0.68154,1.0,"g"
-1.0,-0.03393,1.0,1.0,1.0,-1.0,-1.0,0.5375,1.0,1.0,-0.23393,1.0,"b"
-0.83245,-0.59839,0.98663,0.92651,0.54752,-0.05785,-0.43796,0.68282,-0.73174,0.87433,-0.25843,1.0,"g"
0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,"b"
-0.50152,-0.34691,0.99601,0.96674,0.77919,-0.0373,-0.25099,0.86213,-0.43122,0.90581,-0.09931,1.0,"g"
0.41913,-0.31454,-0.36393,-0.2902,-0.09634,-0.02685,0.15452,0.83872,-0.5813,1.0,-0.63427,1.0,"b"
-0.23902,-0.17387,0.97565,0.94713,0.76911,0.00874,-0.1279,0.88487,-0.21136,0.79682,-0.06971,1.0,"g"
0.0,0.0,0.0,0.0,0.0,0.0,-0.22414,-0.90302,-1.0,0.7694,-1.0,1.0,"b"
-0.01425,1.0,0.93421,0.88559,0.84463,-0.18362,-0.57486,0.90066,-0.01158,0.86676,0.13795,1.0,"g"
0.0,0.0,0.0,1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,"b"
0.34845,-1.0,0.9101,-1.0,1.0,1.0,0.72526,0.90014,-1.0,-1.0,1.0,1.0,"g"
0.33611,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.18856,-1.0,0.8384,-1.0,1.0,"b"
-0.41173,-0.27316,0.97165,0.95436,0.83951,0.08143,-0.19497,0.99899,-0.34586,0.90343,-0.06561,1.0,"g"
0.61458,-1.0,-1.0,-1.0,-1.0,-0.20685,1.0,-1.0,-1.0,-0.42113,0.47173,1.0,"b"
-0.22981,-0.18949,1.0,1.0,0.78479,-0.02259,-0.14522,1.0,-0.21793,1.0,-0.08799,1.0,"g"
-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"b"
0.31166,0.14258,0.99952,0.95713,0.78324,0.05812,0.11224,0.91667,0.23571,0.96741,-0.01911,1.0,"g"
0.0,0.0,0.0,0.0,0.0,-1.0,-0.67708,-0.84792,1.0,0.51979,0.0,1.0,"b"
