@relation ionosphere_part2
@attribute a05 real
@attribute a29 real
@attribute a08 real
@attribute a23 real
@attribute a17 real
@attribute a11 real
@attribute a14 real
@attribute a20 real
@attribute a32 real
@attribute a26 real
@attribute a02 real
@attribute class{b,g}
@data
0.85243,0.21266,-0.37708,0.36946,0.84356,0.85243,-0.44945,-0.32192,-0.54487,-0.51171,0.0,"g"
0.93035,-0.1904,-0.93597,-0.18056,0.05499,0.50874,-0.69707,-1.0,-0.06288,-0.26569,0.0,"b"
1.0,0.431,-0.12062,0.43385,0.83775,0.73082,0.00827,-0.0854,-0.2418,-0.4022,0.0,"g"
1.0,1.0,-1.0,0.0,0.54094,0.0,0.0,-0.54467,1.0,0.90695,0.0,"b"
0.9414,0.02431,-0.23255,0.02309,0.5294,0.52798,-0.00712,-0.17813,-0.59573,-0.65158,0.0,"g"
-0.09924,-0.07859,-0.11824,0.01519,-0.00343,0.03786,0.0,-0.05414,0.0,-0.01535,0.0,"b"
0.94601,0.04606,-0.2835,0.31898,0.57945,0.79766,-0.50764,-0.73641,-0.81318,-0.81634,0.0,"g"
0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,"b"
1.0,0.25435,-0.21313,0.69637,0.98305,0.9257,-0.40668,-0.6602,-0.72779,-0.6544,0.0,"g"
0.0,0.0,0.0,0.0,-0.37133,-0.45663,0.0,0.22115,0.24086,-0.01326,0.0,"b"
1.0,0.40303,-0.2732,0.63081,0.8923,1.0,-0.51874,-0.70997,-0.89093,-0.89128,0.0,"g"
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.93599,-1.0,-0.40888,0.0,"b"
1.0,0.65723,-0.15197,0.82987,0.94486,0.94055,-0.29785,-0.43383,-0.64537,-0.47137,0.0,"g"
1.0,1.0,-0.39896,1.0,1.0,1.0,0.07772,-1.0,0.88428,-0.17012,0.0,"b"
1.0,0.95603,-0.05563,1.0,1.0,1.0,0.20328,0.27087,0.32492,0.20033,0.0,"g"
1.0,0.0,-1.0,0.0,-0.37681,0.43685,0.0,-1.0,0.23188,0.92236,0.0,"b"
