@relation segment_challenge_part1
@attribute rawred-mean real
@attribute hue-mean real
@attribute value-mean real
@attribute rawgreen-mean real
@attribute exblue-mean real
@attribute hedge-sd real
@attribute vegde-sd real
@attribute region-centroid-col real
@attribute short-line-density-2 real
@attribute region-pixel-count real
@attribute class{brickface,cement,foliage,grass,path,sky,window}
@data
26.3333,-2.04915,35.2222,25.6667,18.4444,33.3185,0.222222,38.0,0.0,9.0,"path"
13.1111,2.69011,21.5556,21.5556,1.11111,0.462963,0.607407,25.0,0.0,9.0,"grass"
0.0,-2.0944,1.33333,0.0,2.66667,0.088889,0.077778,49.0,0.0,9.0,"foliage"
6.55556,2.09315,11.5556,11.5556,-5.22222,6.08889,15.263,63.0,0.0,9.0,"grass"
0.777778,-1.82221,3.0,0.0,5.22222,0.172133,0.136083,161.0,0.0,9.0,"window"
0.444444,-2.26954,6.44444,1.44444,11.0,0.32963,0.240741,235.0,0.0,9.0,"foliage"
115.111,-2.33375,142.222,121.333,48.0,1.31092,1.06284,67.0,0.0,9.0,"sky"
51.8889,-1.99159,72.4444,49.6667,43.3333,2.12655,0.742868,188.0,0.0,9.0,"path"
7.44444,2.06945,14.6667,14.6667,-7.88889,1.24276,3.01662,217.0,0.111111,9.0,"grass"
41.0,-2.01072,57.2222,39.5556,33.8889,1.64204,1.00554,9.0,0.0,9.0,"path"
21.1111,-1.57448,26.3333,16.2222,15.3333,0.444445,0.255556,149.0,0.0,9.0,"brickface"
6.55556,-1.00494,6.88889,3.0,3.33333,0.207407,0.177778,136.0,0.0,9.0,"brickface"
2.0,-2.28898,9.22222,3.33333,13.1111,0.533333,0.862963,214.0,0.0,9.0,"foliage"
0.0,-2.17565,3.11111,0.333333,5.88889,0.344265,0.298142,118.0,0.0,9.0,"foliage"
112.333,-2.39327,138.222,119.778,44.3333,0.490652,0.455419,83.0,0.0,9.0,"sky"
50.0,-2.0785,74.3333,49.6667,49.0,0.760116,0.272166,70.0,0.0,9.0,"cement"
23.5556,-1.59887,30.0,18.0,18.4444,2.28519,1.27778,96.0,0.0,9.0,"brickface"
27.5556,-2.0788,41.1111,27.4444,27.2222,0.827758,8.14157,151.0,0.0,9.0,"cement"
0.0,-2.0944,3.0,0.0,6.0,0.088889,0.02963,98.0,0.0,9.0,"foliage"
7.88889,-0.909267,8.22222,3.77778,3.0,0.577778,0.462963,146.0,0.0,9.0,"brickface"
10.8889,1.99038,18.7778,18.7778,-9.66667,2.56472,1.14342,162.0,0.0,9.0,"grass"
132.556,-2.14672,146.556,133.444,27.1111,0.25185,0.240737,155.0,0.0,9.0,"sky"
53.1111,-2.05057,74.0,52.2222,42.6667,3.00925,1.49691,83.0,0.0,9.0,"path"
48.8889,-2.08549,69.5556,48.7778,41.4444,0.516399,1.42075,94.0,0.0,9.0,"cement"
25.4444,-2.06472,38.2222,25.1111,25.8889,1.59745,1.65552,220.0,0.0,9.0,"cement"
14.5556,-2.16091,26.8889,15.3333,23.8889,0.172133,1.24127,157.0,0.0,9.0,"window"
5.55556,-0.57094,5.55556,2.22222,0.222222,0.374074,0.018519,18.0,0.0,9.0,"brickface"
52.4444,-2.07765,76.2222,52.1111,47.8889,5.18545,2.78687,95.0,0.111111,9.0,"path"
58.2222,-2.03882,78.4444,57.2222,41.4444,1.06805,11.0743,112.0,0.0,9.0,"cement"
0.0,-2.0944,1.11111,0.0,2.22222,0.136083,0.136083,206.0,0.0,9.0,"window"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,9.0,"window"
12.6667,2.31093,21.1111,21.1111,-4.88889,2.44445,2.16667,217.0,0.0,9.0,"grass"
44.1111,-1.94747,59.8889,41.5556,34.1111,2.38902,1.0037,189.0,0.0,9.0,"path"
1.0,-2.07507,5.44444,0.888889,9.0,0.033333,0.062963,222.0,0.0,9.0,"window"
7.33333,-0.963048,7.66667,3.33333,3.11111,0.685185,0.507407,97.0,0.0,9.0,"brickface"
24.6667,-2.59382,38.0,30.3333,21.0,17.6291,12.9485,21.0,0.0,9.0,"foliage"
54.7778,-2.08494,78.7778,54.5556,48.2222,1.84692,1.11555,96.0,0.0,9.0,"path"
16.2222,-2.13488,29.2222,16.7778,25.4444,1.5,1.94074,41.0,0.0,9.0,"cement"
7.77778,-0.820403,7.77778,3.33333,2.44444,0.118518,0.02963,154.0,0.0,9.0,"brickface"
25.3333,-1.84499,38.2222,21.6667,29.4444,3.88518,3.04074,137.0,0.0,9.0,"brickface"
9.66667,2.50823,17.4444,17.4444,-1.77778,1.8227,0.827759,46.0,0.0,9.0,"grass"
31.3333,-2.31687,46.2222,32.3333,28.7778,152.7,7.54074,254.0,0.0,9.0,"path"
100.111,-2.39111,132.111,109.222,54.8889,0.779361,0.807371,175.0,0.0,9.0,"sky"
127.556,-2.27843,146.111,130.889,33.7778,1.26297,0.207406,243.0,0.0,9.0,"sky"
50.7778,-2.05935,72.7778,50.0,44.7778,4.68923,3.12457,223.0,0.0,9.0,"path"
46.3333,-2.05164,67.0,45.4444,42.2222,2.85514,1.14827,252.0,0.111111,9.0,"path"
10.6667,2.38268,17.7778,17.7778,-3.11111,0.655555,0.744444,186.0,0.0,9.0,"grass"
115.778,-2.37037,141.889,122.667,45.3333,0.408248,0.516398,107.0,0.0,9.0,"sky"
22.6667,-1.87303,35.1111,19.4444,28.1111,0.888889,1.62963,84.0,0.0,9.0,"brickface"
129.778,-2.28076,146.333,132.778,30.1111,1.04074,0.162964,156.0,0.0,9.0,"sky"
1.66667,-1.95855,6.0,1.0,9.33333,0.062963,0.062963,14.0,0.0,9.0,"window"
40.2222,-1.88773,52.0,37.3333,26.4444,1.48574,0.869228,142.0,0.0,9.0,"path"
129.0,-2.26255,146.333,131.889,31.7778,0.38519,0.385188,191.0,0.0,9.0,"sky"
0.0,-2.0944,2.22222,0.0,4.44444,0.151852,0.074074,113.0,0.0,9.0,"foliage"
7.0,-1.15184,7.44444,3.22222,4.66667,0.122222,0.062963,228.0,0.0,9.0,"brickface"
18.8889,-1.62339,24.7778,14.3333,16.3333,0.062963,0.785184,14.0,0.0,9.0,"brickface"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,9.0,"window"
46.0,-1.83678,54.1111,43.3333,18.8889,0.182574,1.25462,199.0,0.0,9.0,"cement"
12.8889,-2.12273,24.4444,13.2222,22.7778,2.46456,2.20857,228.0,0.0,9.0,"window"
9.33333,2.15664,15.8889,15.8889,-5.88889,1.04074,0.740741,151.0,0.0,9.0,"grass"
6.0,-2.15026,17.0,6.66667,21.3333,20.9222,0.418518,237.0,0.0,9.0,"window"
14.0,2.27303,24.2222,24.2222,-6.66667,0.45542,1.98513,8.0,0.0,9.0,"grass"
0.222222,-2.29808,4.44444,1.11111,7.55556,0.462963,0.344444,37.0,0.0,9.0,"foliage"
41.7778,-2.36049,61.1111,46.5556,33.8889,15.931,12.7954,45.0,0.111111,9.0,"foliage"
10.8889,2.25533,17.2222,17.2222,-4.11111,0.928957,1.00554,23.0,0.0,9.0,"grass"
19.2222,2.6043,29.4444,29.4444,-0.222222,7.61852,0.3,44.0,0.0,9.0,"grass"
12.8889,-2.11184,25.7778,13.1111,25.5556,0.620633,1.06284,61.0,0.0,9.0,"window"
44.8889,-1.9704,59.7778,42.8889,31.7778,1.88168,1.53116,102.0,0.0,9.0,"path"
0.333333,-2.22635,5.33333,1.0,9.33333,0.344444,0.211111,221.0,0.0,9.0,"foliage"
52.5556,-1.96667,71.4444,50.0,40.3333,1.60208,2.16795,168.0,0.0,9.0,"path"
21.1111,-1.75941,30.2222,16.8889,22.4444,1.6,0.951851,42.0,0.0,9.0,"brickface"
0.0,-2.12325,2.77778,0.111111,5.44444,0.327731,0.172133,98.0,0.0,9.0,"foliage"
6.77778,-1.74926,10.7778,5.33333,9.44444,1.26491,1.12382,196.0,0.0,9.0,"window"
7.0,-0.843732,7.0,3.0,2.44444,0.385185,0.433333,226.0,0.0,9.0,"brickface"
7.11111,-0.851202,7.11111,3.0,2.55556,0.151852,0.240741,71.0,0.0,9.0,"brickface"
13.4444,2.83482,19.8889,19.8889,2.66667,0.742867,0.779364,144.0,0.0,9.0,"grass"
110.667,-2.33046,140.778,117.444,53.4444,0.722649,0.443054,16.0,0.0,9.0,"sky"
119.222,-2.27113,142.889,123.222,43.3333,0.907417,0.711108,124.0,0.0,9.0,"sky"
15.2222,2.50525,23.4444,23.4444,-2.0,4.04237,0.389682,158.0,0.0,9.0,"grass"
23.4444,-2.2015,35.1111,24.7778,22.0,0.72265,0.699206,189.0,0.0,9.0,"window"
7.0,-0.953435,7.22222,3.0,3.33333,0.177778,0.062963,239.0,0.0,9.0,"brickface"
52.2222,-2.07113,72.6667,51.7778,41.3333,0.596285,0.534027,104.0,0.0,9.0,"cement"
53.5556,-2.04721,74.8889,52.5556,43.6667,0.750309,1.35674,138.0,0.0,9.0,"path"
0.222222,-2.0944,1.77778,0.222222,3.11111,1.09545,0.807373,33.0,0.0,9.0,"foliage"
12.6667,-2.16157,19.7778,13.1111,13.7778,0.742867,2.31341,233.0,0.0,9.0,"window"
116.778,-2.32692,142.667,122.556,46.0,0.928959,0.75031,143.0,0.0,9.0,"sky"
26.8889,-2.08357,36.4444,26.5556,19.4444,19.0074,1.4963,28.0,0.0,9.0,"path"
40.5556,-1.89349,47.3333,38.8889,15.2222,0.816495,0.966091,210.0,0.0,9.0,"cement"
0.0,-2.17128,2.55556,0.222222,4.88889,0.088889,0.074074,5.0,0.0,9.0,"foliage"
42.7778,-2.12354,62.8889,43.3333,39.6667,0.975629,0.860663,228.0,0.0,9.0,"cement"
0.222222,-2.01751,1.88889,0.0,3.55556,0.074074,0.02963,166.0,0.0,9.0,"window"
49.0,-2.08021,70.2222,48.6667,42.7778,1.20493,2.12568,38.0,0.0,9.0,"path"
0.0,-2.15073,1.77778,0.222222,3.33333,0.516398,0.516398,104.0,0.0,9.0,"foliage"
0.111111,-2.15956,1.33333,0.222222,2.33333,0.151852,0.651852,18.0,0.0,9.0,"foliage"
131.444,-2.27511,147.889,134.333,30.0,0.211111,1.02222,245.0,0.0,9.0,"sky"
37.0,-2.0452,49.7778,36.3333,26.2222,3.41673,1.92546,204.0,0.0,9.0,"path"
20.1111,-1.56634,26.1111,15.2222,16.8889,3.75185,3.75185,29.0,0.0,9.0,"brickface"
21.2222,-1.63224,27.5556,16.3333,17.5556,0.874074,1.63333,80.0,0.0,9.0,"brickface"
