@relation segment_challenge_part2
@attribute intensity-mean real
@attribute rawblue-mean real
@attribute exgreen-mean real
@attribute saturation-mean real
@attribute region-centroid-row real
@attribute exred-mean real
@attribute hedge-mean real
@attribute vedge-mean real
@attribute short-line-density-5 real
@attribute class{brickface,cement,foliage,grass,path,sky,window}
@data
29.0741,35.2222,-10.2222,0.271208,189.0,-8.22222,6.22222,1.0,0.0,"path"
17.5185,17.8889,12.1111,0.393002,199.0,-13.2222,1.05556,1.11111,0.0,"grass"
0.444444,1.33333,-1.33333,0.777778,139.0,-1.33333,0.333333,0.166667,0.0,"foliage"
8.18519,6.44444,10.1111,0.486717,220.0,-4.88889,3.66667,3.05556,0.0,"grass"
1.25926,3.0,-3.77778,1.0,135.0,-1.44444,0.111111,0.055556,0.0,"window"
2.77778,6.44444,-4.0,0.938492,88.0,-7.0,0.944445,0.611111,0.0,"foliage"
126.222,142.222,-14.6667,0.190625,32.0,-33.3333,1.77778,0.944444,0.0,"sky"
58.0,72.4444,-25.0,0.314281,182.0,-18.3333,4.16667,1.61111,0.0,"path"
9.74074,7.11111,14.7778,0.572767,245.0,-6.88889,2.16667,3.16667,0.111111,"grass"
45.9259,57.2222,-19.1111,0.307943,171.0,-14.7778,2.77778,1.5,0.0,"path"
21.2222,26.3333,-15.0,0.382629,117.0,-0.333333,1.0,0.833333,0.222222,"brickface"
5.33333,6.44444,-7.0,0.566799,139.0,3.66667,0.777778,0.666667,0.0,"brickface"
4.85185,9.22222,-4.55556,0.791667,79.0,-8.55556,1.33333,1.27778,0.0,"foliage"
1.14815,3.11111,-2.44444,1.0,125.0,-3.44444,0.888889,0.333333,0.0,"foliage"
123.444,138.222,-11.0,0.187217,53.0,-33.3333,0.722223,0.555555,0.0,"sky"
58.0,74.3333,-25.0,0.336015,38.0,-24.0,1.0,1.22222,0.0,"cement"
23.8519,30.0,-17.5556,0.398791,84.0,-0.888889,1.61111,1.5,0.0,"brickface"
32.037,41.1111,-13.7778,0.338407,129.0,-13.4444,0.722222,8.05556,0.0,"cement"
1.0,3.0,-3.0,1.0,144.0,-3.0,0.333333,0.222222,0.0,"foliage"
6.33333,7.33333,-7.66667,0.537017,140.0,4.66667,1.0,1.05556,0.0,"brickface"
13.2222,10.0,16.6667,0.472826,237.0,-7.0,2.66667,2.27778,0.111111,"grass"
137.519,146.556,-12.2222,0.098472,27.0,-14.8889,1.44445,1.05556,0.0,"sky"
59.7778,74.0,-22.6667,0.296314,198.0,-20.0,4.83333,2.38889,0.0,"path"
55.7407,69.5556,-20.8889,0.303071,104.0,-20.5556,1.0,6.61111,0.0,"cement"
29.5926,38.2222,-13.4444,0.349325,111.0,-12.4444,2.27778,2.55556,0.0,"cement"
18.9259,26.8889,-10.7778,0.459024,85.0,-13.1111,0.222222,1.22222,0.0,"window"
3.92593,4.0,-5.11111,0.600529,145.0,4.88889,0.611111,0.388889,0.0,"brickface"
60.2593,76.2222,-24.4444,0.320865,191.0,-23.4444,6.0,3.16667,0.0,"path"
64.6296,78.4444,-22.2222,0.271659,38.0,-19.2222,1.11111,11.0556,0.0,"cement"
0.37037,1.11111,-1.11111,1.0,133.0,-1.11111,0.055556,0.055556,0.0,"window"
0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,"window"
16.0741,14.4444,15.1111,0.40213,208.0,-10.2222,2.66667,2.5,0.0,"grass"
48.5185,59.8889,-20.8889,0.305755,187.0,-13.2222,3.05556,1.22222,0.0,"path"
2.44444,5.44444,-4.66667,0.878395,93.0,-4.33333,0.166667,1.72222,0.0,"window"
5.85185,6.88889,-7.55556,0.570106,130.0,4.44444,1.05556,0.722222,0.0,"brickface"
31.0,38.0,-2.0,0.400746,64.0,-19.0,20.2222,16.2778,0.0,"foliage"
62.7037,78.7778,-24.4444,0.310288,193.0,-23.7778,1.83333,1.33333,0.0,"path"
20.7407,29.2222,-11.8889,0.441573,150.0,-13.5556,2.16667,1.77778,0.0,"cement"
5.96296,6.77778,-7.88889,0.569444,120.0,5.44444,0.444445,0.444444,0.0,"brickface"
28.4074,38.2222,-20.2222,0.430558,66.0,-9.22222,2.94444,2.61111,0.0,"brickface"
13.2593,12.6667,12.5556,0.445509,238.0,-10.7778,2.16667,1.05556,0.0,"grass"
36.6296,46.2222,-12.8889,0.294845,159.0,-15.8889,14.8333,3.55556,0.0,"path"
113.815,132.111,-13.7778,0.24216,14.0,-41.1111,1.22222,0.888888,0.0,"sky"
134.852,146.111,-11.8889,0.126968,48.0,-21.8889,1.27778,1.22222,0.0,"sky"
57.8519,72.7778,-23.5556,0.312834,175.0,-21.2222,7.16667,3.77778,0.0,"path"
52.9259,67.0,-22.4444,0.32042,176.0,-19.7778,5.05556,1.88889,0.0,"path"
13.7037,12.6667,12.2222,0.401347,218.0,-9.11111,1.16667,1.16667,0.0,"grass"
126.778,141.889,-12.3333,0.184022,21.0,-33.0,1.16667,0.666662,0.0,"sky"
25.7407,35.1111,-18.8889,0.446118,51.0,-9.22222,2.66667,1.77778,0.0,"brickface"
136.296,146.333,-10.5556,0.113055,32.0,-19.5556,2.61111,0.777774,0.0,"sky"
2.88889,6.0,-5.66667,0.832275,135.0,-3.66667,0.277778,0.277778,0.0,"window"
43.1852,52.0,-17.5556,0.28154,183.0,-8.88889,1.55556,1.0,0.111111,"path"
