@relation sonar_all_data_part5
@attribute s10 real
@attribute s45 real
@attribute s5 real
@attribute s20 real
@attribute s35 real
@attribute s15 real
@attribute s25 real
@attribute s60 real
@attribute s55 real
@attribute s40 real
@attribute s50 real
@attribute s30 real
@attribute class{M,R}
@data
0.2111,0.2641,0.0954,0.4797,0.8537,0.066,0.6711,0.0032,0.0072,0.2744,0.0324,0.3857,"R"
0.2872,0.0621,0.1183,0.7818,0.1306,0.7464,0.325,0.0044,0.0094,0.197,0.0061,0.2028,"R"
0.6194,0.2111,0.0974,0.8619,0.4232,0.6479,0.5331,0.0078,0.018,0.4719,0.0106,0.8514,"R"
0.1264,0.4295,0.0205,0.3973,0.3953,0.1729,0.314,0.0117,0.0085,0.9167,0.0294,0.3559,"R"
0.4459,0.0692,0.059,0.4636,0.1951,0.4528,0.3161,0.0094,0.011,0.243,0.0046,0.4724,"R"
0.3039,0.1192,0.0384,0.5122,0.1407,1.0,0.2043,0.0062,0.0013,0.3296,0.0081,0.5067,"R"
0.3513,0.1304,0.1674,0.4233,0.2969,0.5419,0.5268,0.0103,0.007,0.6133,0.0159,0.2149,"R"
0.2838,0.2146,0.1158,0.9402,0.3666,0.5626,0.7613,0.0053,0.0121,0.2546,0.0178,0.1103,"R"
0.1487,0.0985,0.0647,0.9925,0.3408,0.1713,0.3374,0.0022,0.0058,0.2792,0.0439,0.1594,"R"
0.0251,0.0372,0.0187,0.4333,0.0244,0.0198,0.9207,0.004,0.0084,0.0452,0.0198,0.6896,"R"
0.0452,0.1533,0.031,0.1104,0.5021,0.0628,0.6654,0.0036,0.0056,0.3749,0.0073,0.9221,"R"
0.0835,0.0894,0.0358,0.7728,0.2757,0.187,0.5973,0.0044,0.0074,0.2522,0.0217,0.4591,"R"
0.124,0.0678,0.0344,0.8673,0.2489,0.3227,0.6833,0.0032,0.0098,0.1089,0.0266,0.2344,"R"
0.1895,0.1937,0.1197,0.3907,0.7402,0.2901,0.6009,0.0102,0.008,0.6114,0.0068,0.462,"R"
0.212,0.1155,0.0597,0.6299,0.3024,0.0592,0.6446,0.0062,0.0188,0.5018,0.0167,0.235,"R"
0.0852,0.1553,0.1615,0.6433,0.7863,0.3237,0.9371,0.0073,0.0212,0.3163,0.0064,0.42,"R"
0.2912,0.2378,0.0737,0.4128,0.7837,0.3491,0.2561,0.0067,0.0109,0.6087,0.0469,0.866,"R"
0.1186,0.126,0.1388,0.5466,0.2495,0.3769,0.578,0.0075,0.0108,0.3133,0.0216,0.0613,"R"
0.152,0.1353,0.0412,0.3226,0.6239,0.2144,0.8132,0.0088,0.0068,0.1536,0.0179,0.7736,"R"
0.592,0.1136,0.2565,0.9363,0.0329,0.4981,0.4562,0.0063,0.0121,0.3195,0.0121,0.2385,"R"
0.3759,0.1903,0.1783,0.7969,0.6048,0.1582,0.4122,0.0027,0.0042,0.5316,0.0175,0.6281,"R"
0.1838,0.1492,0.0458,0.4858,0.744,0.284,0.2484,0.0079,0.0036,0.7061,0.0235,0.7474,"R"
0.1882,0.4407,0.0652,0.0656,0.5725,0.2169,0.2476,0.0134,0.0202,0.9297,0.0779,0.6291,"R"
0.0734,0.2341,0.0211,0.4217,0.568,0.1721,0.4466,0.0041,0.0064,0.0866,0.0167,0.9084,"R"
0.086,0.1582,0.0476,0.3258,1.0,0.1466,0.4609,0.0011,0.0078,0.2382,0.0133,0.8344,"R"
0.1097,0.2748,0.0133,0.3813,0.7892,0.0031,0.8675,0.0044,0.003,0.3105,0.0122,0.9619,"R"
0.1205,0.1556,0.1163,0.7542,0.3609,0.3404,0.6993,0.0062,0.0128,0.198,0.0059,0.4161,"R"
0.0613,0.1107,0.063,0.3345,0.2876,0.6308,1.0,0.0019,0.0075,0.0606,0.027,0.6592,"R"
0.2668,0.138,0.0416,0.9401,0.3984,0.1278,0.7043,0.0058,0.0088,0.2278,0.0247,0.3917,"R"
0.2522,0.1008,0.008,0.2631,0.304,0.2716,0.6053,0.0075,0.019,0.0202,0.0143,0.4084,"R"
0.0389,0.1418,0.033,0.7307,0.2467,0.3811,0.7781,0.0023,0.0112,0.0751,0.0226,0.8063,"R"
0.1753,0.0986,0.0951,0.3501,0.2627,0.2179,0.8673,0.0045,0.0117,0.191,0.0179,0.3635,"R"
0.0242,0.1315,0.0319,1.0,0.3504,0.4767,0.7732,0.0053,0.0203,0.5493,0.037,0.6235,"R"
0.1268,0.0944,0.0278,0.8252,0.556,0.1109,0.6626,0.0105,0.0055,0.433,0.0637,0.4877,"R"
0.0767,0.0615,0.0079,0.8701,0.2487,0.3227,0.3178,0.0038,0.0188,0.1848,0.0068,0.4999,"R"
0.1573,0.0787,0.0647,0.5858,0.2883,0.2061,0.4718,0.007,0.01,0.1319,0.0144,0.3728,"R"
0.1328,0.1163,0.0681,0.3918,0.8647,0.1204,0.6905,0.0122,0.0065,0.3662,0.0172,0.7575,"R"
0.092,0.0575,0.0679,0.1544,0.6825,0.1174,0.8677,0.0041,0.0054,0.2646,0.0068,0.8296,"R"
0.0475,0.0656,0.018,0.1017,0.5147,0.184,0.6776,0.0071,0.0038,0.1131,0.0074,0.7238,"R"
0.0837,0.0758,0.0657,0.2091,0.8573,0.2969,0.7663,0.0108,0.0026,0.2598,0.0155,0.6387,"R"
0.2475,0.0194,0.0249,0.2595,0.4396,0.4295,0.7026,0.0105,0.0045,0.0842,0.0204,0.9621,"R"
0.064,0.1144,0.026,0.3005,0.6976,0.2176,0.6217,0.0025,0.0114,0.1469,0.012,1.0,"R"
0.0568,0.2391,0.0121,0.1734,0.9017,0.1994,0.8099,0.008,0.0106,0.4057,0.0383,0.9376,"R"
0.136,0.1578,0.0305,0.4395,0.9919,0.2333,0.8589,0.011,0.0086,0.4816,0.0205,0.8575,"R"
0.0561,0.6009,0.1315,0.2172,0.6776,0.1849,0.5161,0.018,0.0131,0.8979,0.0206,0.8659,"R"
0.2176,0.1651,0.0496,0.8196,0.7676,0.3232,0.8367,0.0055,0.0069,0.5003,0.0235,0.0823,"R"
0.2795,0.1374,0.157,0.9657,0.7298,0.4985,0.8218,0.002,0.009,0.641,0.0117,0.1354,"R"
0.0802,0.3212,0.0179,0.3256,0.5902,0.0597,0.771,0.006,0.0006,0.6003,0.0269,0.4411,"R"
0.0349,0.1586,0.0333,0.5627,0.5356,0.0166,1.0,0.0122,0.0094,0.3845,0.007,0.453,"R"
0.0864,0.1708,0.1397,0.6222,0.5956,0.1103,1.0,0.0138,0.0123,0.2811,0.0074,0.5387,"R"
0.088,0.3017,0.037,0.141,0.838,0.2099,0.5756,0.0053,0.0202,0.348,0.0035,0.6295,"R"
0.0901,0.0095,0.0085,0.3093,0.5175,0.2317,0.6948,0.0023,0.0075,0.446,0.0077,0.3425,"R"
0.0818,0.0908,0.0586,0.4691,0.1171,0.224,0.8856,0.003,0.0114,0.1444,0.0045,0.5587,"R"
0.0751,0.1473,0.013,0.491,0.1665,0.2727,0.8504,0.0087,0.0051,0.188,0.0093,0.6318,"R"
0.0922,0.1467,0.0436,0.4529,0.1362,0.2603,0.8282,0.0064,0.0022,0.206,0.0258,0.6736,"R"
0.1199,0.1464,0.0547,0.476,0.1416,0.2616,0.893,0.0018,0.0075,0.2123,0.0224,0.7639,"R"
0.1504,0.112,0.0097,0.4553,0.077,0.1701,0.95,0.0033,0.0013,0.222,0.012,0.7128,"R"
0.0866,0.1215,0.0608,0.391,0.6498,0.0662,0.7973,0.0023,0.0134,0.3273,0.0092,0.718,"R"
0.1452,0.0353,0.0445,0.4678,0.6275,0.0708,0.9282,0.0027,0.0044,0.1651,0.0073,0.7293,"R"
0.1302,0.0622,0.0362,0.4567,0.5197,0.0801,0.9065,0.0058,0.005,0.189,0.0047,0.6616,"R"
0.1483,0.0533,0.0525,0.543,0.5531,0.1197,0.9192,0.0016,0.0011,0.175,0.0116,0.6962,"R"
0.1908,0.0046,0.0561,0.5717,0.567,0.1415,0.842,0.003,0.0096,0.1193,0.0094,0.6986,"R"
0.1185,0.026,0.0667,0.4948,0.729,0.0456,0.8052,0.003,0.0016,0.2366,0.0095,0.8114,"R"
0.118,0.1326,0.0197,0.5224,0.5463,0.0832,0.4958,0.0031,0.004,0.2853,0.0154,0.9166,"R"
0.0898,0.1421,0.0253,0.1524,1.0,0.1424,0.0395,0.0063,0.0124,0.6326,0.0233,0.5508,"R"
0.0474,0.1134,0.0262,0.2086,0.9481,0.0912,0.0616,0.0063,0.0079,0.6148,0.0187,0.6107,"R"
0.0779,0.1512,0.0305,0.1165,0.9885,0.1457,0.0904,0.0095,0.0068,0.6663,0.0188,0.7679,"R"
0.0506,0.1522,0.082,0.1136,0.9518,0.1223,0.024,0.0068,0.0081,0.672,0.0175,0.6443,"R"
0.1191,0.3754,0.0391,0.3658,0.5447,0.0653,0.5643,0.0012,0.0012,0.1493,0.0187,1.0,"R"
0.0973,0.084,0.0357,0.1265,0.31,0.239,0.844,0.0017,0.0073,0.1291,0.0136,0.4638,"R"
0.1109,0.1102,0.0217,0.1286,0.236,0.1487,0.8167,0.0035,0.0052,0.2452,0.01,0.3539,"R"
0.0888,0.0931,0.053,0.1579,0.3147,0.1846,0.8505,0.0016,0.0036,0.1969,0.0055,0.3925,"R"
0.1093,0.0758,0.061,0.1426,0.1952,0.168,0.9061,0.0023,0.0087,0.2481,0.0095,0.3677,"R"
0.1015,0.185,0.0215,0.3247,0.1982,0.1514,0.9048,0.0048,0.0012,0.2806,0.011,0.3773,"R"
0.1036,0.0369,0.0679,0.8129,0.2569,0.4804,0.898,0.0039,0.0053,0.0117,0.0108,0.4659,"R"
0.137,0.1153,0.0807,0.8769,0.2459,0.5584,0.9725,0.0054,0.0043,0.1485,0.0006,0.3244,"R"
0.1376,0.1348,0.0657,0.9046,0.2222,0.5743,0.9009,0.0024,0.0018,0.1062,0.0095,0.3822,"R"
0.0842,0.1125,0.0794,0.8261,0.1742,0.4602,0.9118,0.0051,0.0035,0.1811,0.017,0.4235,"R"
0.0347,0.0831,0.0339,0.8627,0.1037,0.5223,0.9066,0.003,0.0052,0.1454,0.0313,0.2423,"R"
0.0393,0.0653,0.0752,0.7918,0.1052,0.4116,0.8658,0.0027,0.0083,0.2169,0.0101,0.6153,"R"
0.1631,0.1331,0.0455,0.9418,0.3044,0.5485,0.4106,0.0163,0.0151,0.279,0.024,0.8014,"R"
0.299,0.1946,0.0839,0.801,0.173,0.6953,0.7159,0.0019,0.0075,0.3151,0.0196,0.7152,"R"
0.2259,0.2217,0.0183,0.8268,0.2908,0.6812,0.6948,0.0078,0.012,0.1286,0.0405,0.8557,"R"
0.1777,0.1669,0.1081,0.8452,0.158,0.6509,0.7745,0.0069,0.0077,0.2396,0.0224,0.6628,"R"
0.2053,0.123,0.1787,0.861,0.2314,0.585,0.5946,0.0053,0.0102,0.3179,0.0162,0.4831,"R"
0.3735,0.2288,0.113,0.3921,0.3597,0.6204,0.8762,0.0068,0.0164,0.3027,0.0151,0.4456,"R"
0.1806,0.2307,0.0249,0.2807,0.3967,0.7298,0.8457,0.0024,0.003,0.269,0.0398,0.5201,"R"
0.2751,0.2611,0.0385,0.2721,0.5305,0.6737,0.9372,0.0037,0.0037,0.3508,0.0358,0.5775,"R"
0.1808,0.1683,0.1129,0.4463,0.3725,0.5187,0.7283,0.0173,0.0047,0.3244,0.0067,0.4437,"R"
0.3674,0.1779,0.0227,0.2964,0.4603,0.6352,0.824,0.009,0.0105,0.4947,0.0179,0.5648,"R"
0.4284,0.2078,0.1072,0.4586,0.8529,0.6962,0.8109,0.0077,0.0126,0.2866,0.0287,0.2595,"R"
0.2197,0.0909,0.1724,0.4299,0.5084,0.7943,0.6338,0.0053,0.0038,0.3833,0.0151,0.831,"R"
0.163,0.0335,0.0352,0.3915,0.1802,0.294,0.6094,0.0077,0.007,0.2153,0.0318,0.8463,"R"
0.1408,0.0352,0.0067,0.4235,0.3915,0.4471,0.8918,0.0056,0.0164,0.4782,0.0088,0.8362,"R"
0.143,0.0746,0.0434,0.4069,0.2586,0.3039,0.7272,0.0014,0.0114,0.2095,0.0082,0.769,"R"
0.1146,0.0,0.0521,0.4024,0.3647,0.1045,0.15,0.0111,0.005,0.3253,0.0,0.7812,"R"
0.1045,0.0536,0.0421,0.2995,0.2297,0.0346,0.0747,0.0085,0.0233,0.5354,0.0142,0.7508,"R"
0.2028,0.1982,0.1772,0.1729,0.6355,0.334,0.5228,0.0439,0.0063,0.5622,0.0238,0.3456,"M"
0.2231,0.2811,0.401,0.3735,0.2896,0.366,0.507,0.0231,0.018,0.4181,0.0193,0.4178,"M"
0.0279,0.2062,0.062,0.2665,0.2194,0.4533,0.3779,0.0096,0.029,0.3697,0.0153,0.4258,"M"
0.3597,0.0708,0.1437,0.7383,0.2667,0.6558,0.2717,0.0131,0.0138,0.0227,0.0061,0.2531,"M"
0.4372,0.0784,0.0348,0.7913,0.3638,0.7367,0.2554,0.0156,0.0159,0.1593,0.0185,0.1797,"M"
0.2352,0.0405,0.1436,0.7686,0.5046,0.595,0.227,0.0124,0.0158,0.1933,0.0265,0.1674,"M"
0.1334,0.0636,0.0645,0.9032,0.4833,0.6421,0.3711,0.0019,0.0198,0.151,0.0077,0.1714,"M"
0.2792,0.0589,0.0611,0.9911,0.366,0.5607,0.315,0.0055,0.0277,0.3376,0.019,0.2636,"M"
0.1006,0.0573,0.1913,0.9634,0.2131,0.6165,0.6102,0.0092,0.027,0.2715,0.0057,0.3833,"M"
0.0193,0.1283,0.0835,0.873,0.4469,0.3313,0.6177,0.0092,0.0038,0.4255,0.0224,0.4124,"M"
0.0113,0.2137,0.1215,0.8672,0.5194,0.452,0.8555,0.0049,0.006,0.4433,0.0118,0.2554,"M"
0.0351,0.1748,0.1026,0.9367,0.3994,0.3819,0.7327,0.01,0.0209,0.3431,0.0137,0.3149,"M"
0.0945,0.0864,0.1043,0.8381,0.3518,0.2633,0.9575,0.0066,0.0037,0.3554,0.0323,0.4886,"M"
0.0686,0.2101,0.1675,0.9008,0.3862,0.3575,0.8496,0.0133,0.0031,0.4022,0.0183,0.4301,"M"
0.074,0.18,0.3225,0.9234,0.4434,0.4266,0.8337,0.0056,0.0082,0.29,0.0114,0.202,"M"
0.1675,0.1155,0.1397,0.9169,0.5926,0.535,0.6705,0.0053,0.0129,0.2178,0.0142,0.3775,"M"
