@relation soybean_part1
@attribute fruit-pods{?,diseased,dna,few_present,norm}
@attribute canker-lesion{?,brown,dk_brown_blk,dna,tan}
@attribute leafspots-halo{?,absent,no_yellow_halos,yellow_halos}
@attribute date{?,april,august,july,june,may,october,september}
@attribute stem{?,abnorm,norm}
@attribute temp{?,gt_norm,lt_norm,norm}
@attribute mold-growth{?,absent,present}
@attribute area-damaged{?,low_areas,scattered,upper_areas,whole_field}
@attribute shriveling{?,absent,present}
@attribute leaf-shread{?,absent,present}
@attribute mycelium{?,absent,present}
@attribute germination{80_89,90_100,?,lt_80}
@attribute class{2_4_d_injury,alternarialeaf_spot,anthracnose,bacterial_blight,bacterial_pustule,brown_spot,brown_stem_rot,charcoal_rot,cyst_nematode,diaporthe_pod_stem_blight,diaporthe_stem_canker,downy_mildew,frog_eye_leaf_spot,herbicide_injury,phyllosticta_leaf_spot,phytophthora_rot,powdery_mildew,purple_seed_stain,rhizoctonia_root_rot}
@data
"norm","brown","absent","october","abnorm","norm","absent","low_areas","absent","absent","absent","90_100","diaporthe_stem_canker"
"norm","brown","absent","august","abnorm","norm","absent","scattered","absent","absent","absent","80_89","diaporthe_stem_canker"
"norm","dna","absent","july","abnorm","norm","absent","scattered","absent","absent","absent","lt_80","diaporthe_stem_canker"
"norm","dna","absent","july","abnorm","norm","absent","scattered","absent","absent","absent","80_89","diaporthe_stem_canker"
"norm","brown","absent","october","abnorm","norm","absent","scattered","absent","absent","absent","lt_80","diaporthe_stem_canker"
"norm","dna","absent","september","abnorm","norm","absent","scattered","absent","absent","absent","80_89","diaporthe_stem_canker"
"norm","brown","absent","september","abnorm","norm","absent","scattered","absent","absent","absent","90_100","diaporthe_stem_canker"
"norm","brown","absent","august","abnorm","norm","absent","scattered","absent","absent","absent","lt_80","diaporthe_stem_canker"
"norm","brown","absent","october","abnorm","norm","absent","scattered","absent","absent","absent","80_89","diaporthe_stem_canker"
"norm","brown","absent","august","abnorm","norm","absent","scattered","absent","absent","absent","lt_80","diaporthe_stem_canker"
"norm","tan","absent","october","abnorm","gt_norm","absent","whole_field","absent","absent","absent","90_100","charcoal_rot"
"norm","tan","absent","august","abnorm","norm","absent","whole_field","absent","absent","absent","80_89","charcoal_rot"
"norm","tan","absent","july","abnorm","norm","absent","upper_areas","absent","absent","absent","90_100","charcoal_rot"
"norm","tan","absent","october","abnorm","norm","absent","whole_field","absent","absent","absent","90_100","charcoal_rot"
"norm","tan","absent","october","abnorm","gt_norm","absent","whole_field","absent","absent","absent","80_89","charcoal_rot"
"norm","tan","absent","september","abnorm","gt_norm","absent","whole_field","absent","absent","absent","lt_80","charcoal_rot"
"norm","tan","absent","october","abnorm","gt_norm","absent","upper_areas","absent","absent","absent","90_100","charcoal_rot"
"norm","tan","absent","august","abnorm","norm","absent","upper_areas","absent","absent","absent","80_89","charcoal_rot"
"norm","tan","absent","july","abnorm","gt_norm","absent","upper_areas","absent","absent","absent","lt_80","charcoal_rot"
"norm","tan","absent","september","abnorm","gt_norm","absent","upper_areas","absent","absent","absent","lt_80","charcoal_rot"
"dna","brown","absent","may","abnorm","lt_norm","absent","low_areas","absent","absent","present","lt_80","rhizoctonia_root_rot"
"dna","brown","absent","may","abnorm","lt_norm","absent","low_areas","absent","absent","absent","80_89","rhizoctonia_root_rot"
"dna","brown","absent","july","abnorm","lt_norm","absent","low_areas","absent","absent","present","80_89","rhizoctonia_root_rot"
"dna","brown","absent","april","abnorm","lt_norm","absent","low_areas","absent","absent","absent","lt_80","rhizoctonia_root_rot"
"dna","brown","absent","april","abnorm","lt_norm","absent","low_areas","absent","absent","absent","lt_80","rhizoctonia_root_rot"
"dna","brown","absent","may","abnorm","lt_norm","absent","low_areas","absent","absent","absent","lt_80","rhizoctonia_root_rot"
"dna","brown","absent","may","abnorm","lt_norm","absent","low_areas","absent","absent","absent","80_89","rhizoctonia_root_rot"
"dna","brown","absent","june","abnorm","lt_norm","absent","low_areas","absent","absent","absent","80_89","rhizoctonia_root_rot"
"dna","brown","absent","may","abnorm","lt_norm","absent","low_areas","absent","absent","absent","lt_80","rhizoctonia_root_rot"
"dna","brown","absent","june","abnorm","lt_norm","absent","low_areas","absent","absent","absent","lt_80","rhizoctonia_root_rot"
"dna","dk_brown_blk","absent","april","abnorm","norm","absent","low_areas","absent","absent","absent","90_100","phytophthora_rot"
?,"dk_brown_blk","absent","may","abnorm","norm",?,"low_areas",?,"absent","absent",?,"phytophthora_rot"
