@relation soybean_part2
@attribute int-discolor{?,black,brown,none}
@attribute fruit-spots{?,absent,brown_w_blk_specks,colored,dna}
@attribute roots{?,galls_cysts,norm,rotted}
@attribute leafspots-marg{?,dna,no_w_s_marg,w_s_marg}
@attribute plant-growth{?,abnorm,norm}
@attribute leaf-malf{?,absent,present}
@attribute seed-discolor{?,absent,present}
@attribute fruiting-bodies{?,absent,present}
@attribute severity{?,minor,pot_severe,severe}
@attribute plant-stand{?,lt_normal,normal}
@attribute lodging{?,no,yes}
@attribute hail{?,no,yes}
@attribute class{2_4_d_injury,alternarialeaf_spot,anthracnose,bacterial_blight,bacterial_pustule,brown_spot,brown_stem_rot,charcoal_rot,cyst_nematode,diaporthe_pod_stem_blight,diaporthe_stem_canker,downy_mildew,frog_eye_leaf_spot,herbicide_injury,phyllosticta_leaf_spot,phytophthora_rot,powdery_mildew,purple_seed_stain,rhizoctonia_root_rot}
@data
"none","dna","norm","dna","abnorm","absent","absent","present","pot_severe","normal","no","yes","diaporthe_stem_canker"
"none","dna","norm","dna","abnorm","absent","absent","present","severe","normal","yes","yes","diaporthe_stem_canker"
"none","dna","norm","dna","abnorm","absent","absent","present","severe","normal","yes","yes","diaporthe_stem_canker"
"none","dna","norm","dna","abnorm","absent","absent","present","severe","normal","yes","yes","diaporthe_stem_canker"
"none","dna","norm","dna","abnorm","absent","absent","present","pot_severe","normal","yes","yes","diaporthe_stem_canker"
"none","dna","norm","dna","abnorm","absent","absent","present","pot_severe","normal","yes","yes","diaporthe_stem_canker"
"none","dna","norm","dna","abnorm","absent","absent","present","pot_severe","normal","no","yes","diaporthe_stem_canker"
"none","dna","norm","dna","abnorm","absent","absent","present","pot_severe","normal","yes","no","diaporthe_stem_canker"
"none","dna","norm","dna","abnorm","absent","absent","present","pot_severe","normal","yes","yes","diaporthe_stem_canker"
"none","dna","norm","dna","abnorm","absent","absent","present","severe","normal","yes","yes","diaporthe_stem_canker"
"black","dna","norm","dna","abnorm","absent","absent","absent","pot_severe","normal","yes","yes","charcoal_rot"
"black","dna","norm","dna","abnorm","absent","absent","absent","pot_severe","normal","no","no","charcoal_rot"
