baseClassifier,datasetName,attributeName,task,dsMatrixCorrelSD,dsEigenvaluePropIntercept,dsEigenvalueCumulativeIntercept,dsChiSquaredMax,attChiSquaredNormalized,attClassifierLogisticNormalized,attCorrelationNormalized,attReliefFNormalized,attSymmetricalUncertNormalized,dsLOGnInstances,dsLnNumClasses,wrapperRelevance
simpleLogisticRegression,iris,petallength,classification,0.666645259010026,0.493462857142857,0.719181428571429,268.419,1.0,0.988835725677831,1.0,0.954787234042553,0.925373134328358,2.17609125905568,1.09861228866811,no
simpleLogisticRegression,iris,petalwidth,classification,0.666645259010026,0.493462857142857,0.719181428571429,268.419,0.994370741266453,1.0,0.96260162601626,1.0,1.0,2.17609125905568,1.09861228866811,yes
simpleLogisticRegression,iris,sepallength,classification,0.666645259010026,0.493462857142857,0.719181428571429,268.419,0.470953993569755,0.657097288676236,0.777235772357724,0.372340425531915,0.469575200918484,2.17609125905568,1.09861228866811,no
simpleLogisticRegression,iris,sepalwidth,classification,0.666645259010026,0.493462857142857,0.719181428571429,268.419,0.263170639932345,0.35725677830941,0.645528455284553,0.324468085106383,0.275545350172216,2.17609125905568,1.09861228866811,no
simpleLogisticRegression,labor_part1,wage-increase-second-year,classification,0.392381834192013,0.219657272727273,0.351261818181818,15.0643,1.0,1.0,0.878688524590164,1.0,1.0,1.75587485567249,0.693147180559945,yes
simpleLogisticRegression,labor_part1,statutory-holidays,classification,0.392381834192013,0.219657272727273,0.351261818181818,15.0643,0.862476185418506,1.0,0.695081967213115,0.704146297302191,0.859066859066859,1.75587485567249,0.693147180559945,no
simpleLogisticRegression,labor_part1,longterm-disability-assistance,classification,0.392381834192013,0.219657272727273,0.351261818181818,15.0643,0.460187330310735,1.0,0.901639344262295,0.80210030780373,0.457431457431458,1.75587485567249,0.693147180559945,yes
simpleLogisticRegression,labor_part1,shift-differential,classification,0.392381834192013,0.219657272727273,0.351261818181818,15.0643,0.374992532012772,0.630979498861048,0.4,0.276389643309795,0.35978835978836,1.75587485567249,0.693147180559945,no
simpleLogisticRegression,labor_part1,pension,classification,0.392381834192013,0.219657272727273,0.351261818181818,15.0643,0.287620400549644,0.920273348519362,1.0,0.809976462067717,0.22029822029822,1.75587485567249,0.693147180559945,no
simpleLogisticRegression,labor_part1,cost-of-living-adjustment,classification,0.392381834192013,0.219657272727273,0.351261818181818,15.0643,0.245408017631088,0.774487471526196,0.175409836065574,0.312330255296035,0.201058201058201,1.75587485567249,0.693147180559945,no
simpleLogisticRegression,labor_part1,bereavement-assistance,classification,0.392381834192013,0.219657272727273,0.351261818181818,15.0643,0.184077587408642,0.583143507972665,0.526229508196721,0.0397428933550607,0.227994227994228,1.75587485567249,0.693147180559945,no
simpleLogisticRegression,labor_part1,duration,classification,0.392381834192013,0.219657272727273,0.351261818181818,15.0643,0.0,0.61503416856492,0.278688524590164,-0.15879051240268,0.0,1.75587485567249,0.693147180559945,yes
simpleLogisticRegression,labor_part2,wage-increase-first-year,classification,0.35335201545399,0.189684393939394,0.289925454545455,22.943,1.0,1.0,1.0,1.0,1.0,1.75587485567249,0.693147180559945,yes
simpleLogisticRegression,labor_part2,contribution-to-dental-plan,classification,0.35335201545399,0.189684393939394,0.289925454545455,22.943,0.424050908773918,0.839130434782609,0.306739345887017,0.916161059018202,0.324210526315789,1.75587485567249,0.693147180559945,no
simpleLogisticRegression,labor_part2,contribution-to-health-plan,classification,0.35335201545399,0.189684393939394,0.289925454545455,22.943,0.413110752735039,0.954347826086956,0.533696729435084,0.432432432432432,0.293233082706767,1.75587485567249,0.693147180559945,yes
simpleLogisticRegression,labor_part2,vacation,classification,0.35335201545399,0.189684393939394,0.289925454545455,22.943,0.34441877696901,0.647826086956522,0.311529567228279,0.693325979040265,0.260451127819549,1.75587485567249,0.693147180559945,no
simpleLogisticRegression,labor_part2,wage-increase-third-year,classification,0.35335201545399,0.189684393939394,0.289925454545455,22.943,0.107440177832018,0.763043478260869,0.662537165510406,0.349696635410921,0.0995488721804511,1.75587485567249,0.693147180559945,no
simpleLogisticRegression,labor_part2,education-allowance,classification,0.35335201545399,0.189684393939394,0.289925454545455,22.943,0.0815935143616789,0.717391304347826,0.0812685827552032,0.150027578599007,0.0748872180451128,1.75587485567249,0.693147180559945,no
simpleLogisticRegression,labor_part2,standby-pay,classification,0.35335201545399,0.189684393939394,0.289925454545455,22.943,0.0671664559996513,0.8,0.637594978526594,0.230557087699945,0.0607518796992481,1.75587485567249,0.693147180559945,no
simpleLogisticRegression,labor_part2,working-hours,classification,0.35335201545399,0.189684393939394,0.289925454545455,22.943,0.0,0.595652173913043,0.52411628675256,0.276889134031991,0.0,1.75587485567249,0.693147180559945,yes
simpleLogisticRegression,glass,K,classification,0.353392386125435,0.180510879120879,0.344707692307692,187.6856,1.0,0.548163804491413,0.233521657250471,0.107156238291495,0.791846652267819,2.33041377334919,1.94591014905531,yes
simpleLogisticRegression,glass,Al,classification,0.353392386125435,0.180510879120879,0.344707692307692,187.6856,0.916822068395231,1.0,0.791588198367859,0.334348070438366,0.839362850971922,2.33041377334919,1.94591014905531,yes
simpleLogisticRegression,glass,Ba,classification,0.353392386125435,0.180510879120879,0.344707692307692,187.6856,0.8861819979796,0.567926023778071,0.771500313873195,0.289621581116523,0.809935205183585,2.33041377334919,1.94591014905531,yes
simpleLogisticRegression,glass,Mg,classification,0.353392386125435,0.180510879120879,0.344707692307692,187.6856,0.78814783872604,0.66668428005284,1.0,1.0,1.0,2.33041377334919,1.94591014905531,yes
simpleLogisticRegression,glass,Ca,classification,0.353392386125435,0.180510879120879,0.344707692307692,187.6856,0.78305794371012,0.0,0.260200878844947,0.227004496065942,0.699244060475162,2.33041377334919,1.94591014905531,no
simpleLogisticRegression,glass,Na,classification,0.353392386125435,0.180510879120879,0.344707692307692,187.6856,0.624792738494589,0.66668428005284,0.739171374764595,0.219838890970401,0.627159827213823,2.33041377334919,1.94591014905531,yes
simpleLogisticRegression,glass,RI,classification,0.353392386125435,0.180510879120879,0.344707692307692,187.6856,0.483192104242414,0.0370409511228534,0.248901443816698,0.186071562382915,0.487850971922246,2.33041377334919,1.94591014905531,no
simpleLogisticRegression,glass,Fe,classification,0.353392386125435,0.180510879120879,0.344707692307692,187.6856,0.108634865967341,0.0888771466314399,0.287193973634652,0.0360621955788685,0.178455723542117,2.33041377334919,1.94591014905531,yes
simpleLogisticRegression,glass,Si,classification,0.353392386125435,0.180510879120879,0.344707692307692,187.6856,0.0,0.0592338177014531,0.21594475831764,0.12336080929187,0.0,2.33041377334919,1.94591014905531,no
simpleLogisticRegression,breast_cancer,deg-malig,classification,0.198669278572508,0.05668192513369,0.194978502673797,31.695,1.0,-0.333174451858913,0.767702312138728,1.0,0.997498436522827,2.45636603312904,0.693147180559945,yes
simpleLogisticRegression,breast_cancer,inv-nodes,classification,0.198669278572508,0.05668192513369,0.194978502673797,31.695,0.908660672030289,-0.533365109628217,0.942557803468208,0.220725388601036,0.982176360225141,2.45636603312904,0.693147180559945,yes
simpleLogisticRegression,breast_cancer,node-caps,classification,0.198669278572508,0.05668192513369,0.194978502673797,31.695,0.688594415522953,1.0,1.0,0.276683937823834,1.0,2.45636603312904,0.693147180559945,no
simpleLogisticRegression,breast_cancer,tumor-size,classification,0.198669278572508,0.05668192513369,0.194978502673797,31.695,0.565262659725509,0.0,0.255419075144509,0.423834196891192,0.458098811757348,2.45636603312904,0.693147180559945,no
simpleLogisticRegression,breast_cancer,irradiat,classification,0.198669278572508,0.05668192513369,0.194978502673797,31.695,0.339296418993532,0.0,0.700505780346821,0.351295336787565,0.483739837398374,2.45636603312904,0.693147180559945,no
simpleLogisticRegression,breast_cancer,age,classification,0.198669278572508,0.05668192513369,0.194978502673797,31.695,0.12613976967976,0.0,0.123554913294798,0.528497409326425,0.113664790494059,2.45636603312904,0.693147180559945,no
simpleLogisticRegression,breast_cancer,breast-quad,classification,0.198669278572508,0.05668192513369,0.194978502673797,31.695,0.109985802177,0.0,0.18099710982659,0.606217616580311,0.0963101938711695,2.45636603312904,0.693147180559945,no
simpleLogisticRegression,breast_cancer,breast,classification,0.198669278572508,0.05668192513369,0.194978502673797,31.695,0.0310459062943682,0.0,0.211705202312139,0.44559585492228,0.0414321450906817,2.45636603312904,0.693147180559945,no
simpleLogisticRegression,breast_cancer,menopause,classification,0.198669278572508,0.05668192513369,0.194978502673797,31.695,0.0249566177630541,0.0,0.183164739884393,0.568911917098446,0.0311131957473421,2.45636603312904,0.693147180559945,yes
simpleLogisticRegression,contact_lenses,tear-prod-rate,classification,0.439627683386749,0.308711428571429,0.255287142857143,14.4,1.0,1.0,1.0,1.0,1.0,1.38021124171161,1.09861228866811,yes
simpleLogisticRegression,contact_lenses,astigmatism,classification,0.439627683386749,0.308711428571429,0.255287142857143,14.4,0.629631944444444,0.834,0.352852852852853,0.430424422666929,0.687009959737232,1.38021124171161,1.09861228866811,yes
simpleLogisticRegression,contact_lenses,age,classification,0.439627683386749,0.308711428571429,0.255287142857143,14.4,0.0902777777777778,0.834,0.171171171171171,-0.0929645090205493,0.0574274210637847,1.38021124171161,1.09861228866811,no
simpleLogisticRegression,contact_lenses,spectacle-prescrip,classification,0.439627683386749,0.308711428571429,0.255287142857143,14.4,0.0879652777777778,0.834,0.168168168168168,0.0022752924736191,0.0720491629582539,1.38021124171161,1.09861228866811,no
simpleLogisticRegression,credit_g_part1,checking_status,classification,0.226344485197858,0.098164285714286,0.056331428571429,123.721,1.0,-0.3,1.0,1.0,1.0,3.0,0.693147180559945,yes
