@relation 'monks-2_train-weka.filters.unsupervised.attribute.Remove-R1,9-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R1-6'

@attribute a1 {1,2,3}
@attribute a2 {1,2,3}
@attribute a3 {1,2}
@attribute a4 {1,2,3}
@attribute a5 {1,2,3,4}
@attribute a6 {1,2}
@attribute class {0,1}

@data
1,1,1,1,2,2,0
1,1,1,1,4,1,0
1,1,1,2,1,1,0
1,1,1,2,1,2,0
1,1,1,2,2,1,0
1,1,1,2,3,1,0
1,1,1,2,4,1,0
1,1,1,3,2,1,0
1,1,1,3,4,1,0
1,1,2,1,1,1,0
1,1,2,1,1,2,0
1,1,2,2,3,1,0
1,1,2,2,4,1,0
1,1,2,2,4,2,1
1,1,2,3,1,2,0
1,1,2,3,2,2,1
1,2,1,1,1,2,0
1,2,1,2,1,2,0
1,2,1,2,2,2,1
1,2,1,2,3,1,0
1,2,1,2,3,2,1
1,2,1,2,4,1,0
1,2,1,3,1,1,0
1,2,1,3,1,2,0
1,2,1,3,2,2,1
1,2,1,3,3,1,0
1,2,1,3,3,2,1
1,2,1,3,4,1,0
1,2,1,3,4,2,1
1,2,2,1,2,1,0
1,2,2,1,4,1,0
1,2,2,2,3,1,1
1,2,2,2,4,1,1
1,2,2,3,1,1,0
1,2,2,3,1,2,1
1,2,2,3,3,1,1
1,2,2,3,3,2,0
1,2,2,3,4,1,1
1,2,2,3,4,2,0
1,3,1,1,1,2,0
1,3,1,1,2,2,0
1,3,1,1,3,1,0
1,3,1,1,3,2,0
1,3,1,2,2,1,0
1,3,1,2,2,2,1
1,3,1,2,3,2,1
1,3,1,2,4,1,0
1,3,1,3,2,2,1
1,3,1,3,3,1,0
1,3,1,3,4,2,1
1,3,2,1,3,1,0
1,3,2,1,3,2,1
1,3,2,1,4,1,0
1,3,2,2,1,2,1
1,3,2,2,3,2,0
1,3,2,2,4,2,0
1,3,2,3,2,1,1
2,1,1,1,1,1,0
2,1,1,1,2,2,0
2,1,1,1,3,1,0
2,1,1,2,2,2,1
2,1,1,3,1,2,0
2,1,1,3,2,2,1
2,1,1,3,3,2,1
2,1,1,3,4,1,0
2,1,2,1,1,1,0
2,1,2,1,2,2,1
2,1,2,1,4,1,0
2,1,2,2,2,1,1
2,1,2,2,4,2,0
2,1,2,3,1,1,0
2,1,2,3,1,2,1
2,1,2,3,2,2,0
2,1,2,3,3,2,0
2,1,2,3,4,2,0
2,2,1,1,3,1,0
2,2,1,1,4,2,1
2,2,1,2,1,1,0
2,2,1,2,3,1,1
2,2,1,3,3,1,1
2,2,1,3,3,2,0
2,2,1,3,4,1,1
2,2,2,1,1,1,0
2,2,2,1,2,2,0
2,2,2,1,3,2,0
2,2,2,1,4,1,1
2,2,2,1,4,2,0
2,2,2,2,1,1,1
2,2,2,2,2,2,0
2,2,2,2,3,1,0
2,2,2,3,1,1,1
2,2,2,3,2,1,0
2,2,2,3,2,2,0
2,2,2,3,4,2,0
2,3,1,1,1,1,0
2,3,1,1,1,2,0
2,3,1,1,3,2,1
2,3,1,2,1,1,0
2,3,1,2,3,1,1
2,3,1,2,3,2,0
2,3,1,2,4,2,0
2,3,1,3,1,2,1
2,3,1,3,2,1,1
2,3,1,3,4,1,1
2,3,2,1,1,2,1
2,3,2,1,2,1,1
2,3,2,1,3,1,1
2,3,2,1,4,2,0
2,3,2,2,1,1,1
2,3,2,2,2,1,0
2,3,2,2,3,2,0
2,3,2,3,3,1,0
2,3,2,3,3,2,0
2,3,2,3,4,2,0
3,1,1,1,4,1,0
3,1,1,2,1,2,0
3,1,1,2,2,2,1
3,1,1,2,3,2,1
3,1,1,2,4,1,0
3,1,1,2,4,2,1
3,1,1,3,1,1,0
3,1,1,3,1,2,0
3,1,1,3,2,2,1
3,1,1,3,3,2,1
3,1,2,1,1,1,0
3,1,2,1,2,2,1
3,1,2,1,3,1,0
3,1,2,1,3,2,1
3,1,2,1,4,1,0
3,1,2,1,4,2,1
3,1,2,2,2,1,1
3,1,2,3,1,2,1
3,1,2,3,2,1,1
3,1,2,3,2,2,0
3,1,2,3,4,2,0
3,2,1,1,1,2,0
3,2,1,1,2,2,1
3,2,1,1,3,1,0
3,2,1,1,3,2,1
3,2,1,2,1,2,1
3,2,1,2,2,1,1
3,2,1,3,1,1,0
3,2,1,3,2,1,1
3,2,1,3,3,1,1
3,2,1,3,3,2,0
3,2,2,1,1,1,0
3,2,2,1,2,2,0
3,2,2,1,3,1,1
3,2,2,1,3,2,0
3,2,2,2,1,1,1
3,2,2,2,2,1,0
3,2,2,2,2,2,0
3,2,2,2,3,2,0
3,2,2,3,1,1,1
3,2,2,3,3,2,0
3,2,2,3,4,2,0
3,3,1,1,1,1,0
3,3,1,1,2,1,0
3,3,1,1,3,1,0
3,3,1,1,3,2,1
3,3,1,2,3,2,0
3,3,2,1,1,1,0
3,3,2,2,1,1,1
3,3,2,2,2,1,0
3,3,2,2,3,1,0
3,3,2,2,3,2,0
3,3,2,3,1,1,1
3,3,2,3,2,1,0
3,3,2,3,4,2,0
